message,label
check out this new meme,casual
win a crypto investment click here,spam
congratulations you won a crypto investment,spam
you have been selected for a crypto investment,spam
buy 1 get 1 free gift card this day,spam
professor cancelled physics class on thursday,important
buy 1 get 1 free crypto investment today,spam
lets play cricket after class,casual
computer science exam scheduled on thursday at 2:00 pm,important
earn 5000 per week with lottery prize,spam
movie night on friday at midnight,casual
party tonight at 5:00 pm,casual
assignment due on tuesday at 5:00 pm,important
professor cancelled biology class on sunday,important
lab report for biology must be uploaded by saturday,important
lets play badminton after class,casual
check out this new meme,casual
earn 5000 per week with discount coupon,spam
congratulations you won a crypto investment,spam
assignment due on tomorrow at midnight,important
professor cancelled english class on tuesday,important
lab report for english must be uploaded by tomorrow,important
check out this new meme,casual
check out this new meme,casual
who wants to grab lunch on tuesday,casual
professor cancelled computer science class on saturday,important
good morning everyone,casual
who wants to grab lunch on saturday,casual
win a gift card click here,spam
check out this new meme,casual
party tonight at 11:59 pm,casual
who wants to grab lunch on wednesday,casual
computer science exam scheduled on wednesday at 11:59 pm,important
party tonight at 2:00 pm,casual
movie night on tuesday at 2:00 pm,casual
good morning everyone,casual
computer science exam scheduled on thursday at 2:00 pm,important
check out this new meme,casual
check out this new meme,casual
lab report for english must be uploaded by tuesday,important
claim your free iphone now,spam
work submission submission time is sunday at 10:30 am,important
check out this new meme,casual
congratulations you won a gift card,spam
results of history will be declared on friday,important
who wants to grab lunch on friday,casual
lab report for biology must be uploaded by saturday,important
who wants to grab lunch on wednesday,casual
earn 5000 per week with free iphone,spam
check out this new meme,casual
check out this new meme,casual
results of math will be declared on today,important
congratulations you won a discount coupon,spam
check out this new meme,casual
assignment due on tomorrow at 10:30 am,important
chemistry exam scheduled on tuesday at 11:59 pm,important
good morning everyone,casual
check out this new meme,casual
professor cancelled biology class on sunday,important
buy 1 get 1 free gift card today,spam
assignment due on sunday at 11:59 pm,important
claim your gift card instantly,spam
get 1 get 1 no-cost gift card today,spam
chemistry exam scheduled on saturday at 2:00 pm,important
lets play badminton after class,casual
check out this new meme,casual
buy 1 get 1 gratis gift card today,spam
assignment due on tomorrow at 10:30 am,important
check out this new meme,casual
party tonight at 2:00 pm,casual
lets play chess after class,casual
lets play badminton after class,casual
buy 1 get 1 free crypto investment today,spam
claim your lottery prize instantly,spam
lab report for physics must be uploaded by thursday,important
you have been selected for a crypto investment,spam
claim your lottery prize immediately,spam
claim your job offer now,spam
party tonight at 10:30 am,casual
physics exam scheduled on monday at 2:00 pm,important
good morning everyone,casual
lets play badminton after class,casual
good morning everyone,casual
buy 1 get 1 free gift card today,spam
win a gift card click here,spam
earn 5000 per week with lottery prize,spam
win a gift card click here,spam
who wants to grab lunch on wednesday,casual
congratulations you won a discount coupon,spam
who wants to grab lunch on monday,casual
chemistry exam scheduled on tuesday at 11:59 pm,important
physics exam scheduled on tomorrow at 10:30 am,important
check out this new meme,casual
check out this new meme,casual
get 1 get 1 gratis complimentary iphone currently,spam
who wants to grab lunch on tomorrow,casual
physics exam scheduled on monday at 2:00 pm,important
results of chemistry will be declared on sunday,important
lab report for computer science must be uploaded by wednesday,important
assignment due on as of now at 2:00 pm,important
results of history will be declared on saturday,important
purchase 1 get 1 free crypto investment today,spam
lab report for biology must be uploaded by today,important
who wants to grab lunch on tuesday,casual
congratulations you won a lottery prize,spam
check out this new meme,casual
lab report for biology must be uploaded by tomorrow,important
physics exam scheduled on wednesday at 2:00 pm,important
congratulations you won a lottery prize,spam
project submission deadline is friday at 11:59 pm,important
computer science exam scheduled on wednesday at 8:00 am,important
professor cancelled computer science class on saturday,important
congratulations you won a discount coupon,spam
buy 1 get 1 free gift card today,spam
results of history will be declared on tuesday,important
lab report for chemistry must be uploaded by wednesday,important
movie night on saturday at 10:30 am,casual
win a discount coupon click here,spam
good morning everyone,casual
movie night on today at midnight,casual
task submission deadline is saturday at 2:00 pm,important
check out this new meme,casual
movie night on sunday at 10:30 am,casual
lab report for history must be uploaded by today,important
movie night on today at midnight,casual
check out this new meme,casual
project submission deadline is today at 5:00 pm,important
check out this new meme,casual
earn 5000 per week with crypto investment,spam
results of history will be declared on today,important
you have been selected for a gift card,spam
good morning everyone,casual
claim your lottery prize now,spam
good morning everyone,casual
good morning everyone,casual
earn 5000 per week with gift card,spam
congratulations you won a discount coupon,spam
win a job offer click here,spam
math exam scheduled on today at 11:59 pm,important
you have been selected for a crypto investment,spam
lets play chess after class,casual
check out this new meme,casual
professor cancelled computer science class on friday,important
computer science exam scheduled on wednesday at 2:00 pm,important
win a free iphone click here,spam
lab report for biology must be uploaded by thursday,important
party tonight at 10:30 am,casual
computer science exam scheduled on wednesday at 11:59 pm,important
good morning everyone,casual
win a job offer click here,spam
results of computer science will be declared on friday,important
lets play volleyball after class,casual
results of history will be declared on tomorrow,important
project submission due date is today at midnight,important
buy 1 get 1 free crypto investment today,spam
movie night on saturday at 10:30 am,casual
lets play badminton after class,casual
computer science exam scheduled on wednesday at 2:00 pm,important
congratulations you won a discount coupon,spam
earn 5000 per week with free iphone,spam
good morning everyone,casual
who wants to grab lunch on monday,casual
movie night on thursday at 5:00 pm,casual
good morning everyone,casual
project submission deadline is monday at 2:00 pm,important
movie night on saturday at 2:00 pm,casual
movie night on sunday at 10:30 am,casual
professor cancelled english class on friday,important
earn 5000 per week with job offer,spam
who wants to grab lunch on wednesday,casual
claim your free iphone immediately,spam
assignment due on friday at 5:00 pm,important
win a lottery prize click here,spam
results of chemistry will be declared on friday,important
math exam scheduled on today at 11:59 pm,important
you have been selected for a crypto investment,spam
lets play badminton after class,casual
earn 5000 per week with no-cost iphone,spam
movie night on tuesday at 2:00 pm,casual
party tonight at 10:30 am,casual
claim your job offer now,spam
professor cancelled computer science class on saturday,important
claim your gift card now,spam
good morning everyone,casual
party tonight at 11:59 pm,casual
earn 5000 per week with lottery prize,spam
movie night on thursday at midnight,casual
win a job offer click here,spam
you have been selected for a gift card,spam
who wants to grab lunch on monday,casual
computer science exam scheduled on wednesday at 11:59 pm,important
who wants to grab lunch on tuesday,casual
assignment due on today at 11:59 pm,important
earn 5000 per week with crypto investment,spam
good morning everyone,casual
physics exam scheduled on monday at 2:00 pm,important
win a gift card click here,spam
earn 5000 per week with gift card,spam
earn 5000 per week with free iphone,spam
claim your gift card now,spam
check out this new meme,casual
congratulations you won a crypto investment,spam
results of history will be declared on saturday,important
assignment due on today at midnight,important
lets play chess after class,casual
who wants to grab lunch on thursday,casual
earn 5000 per week with job offer,spam
assignment due on today at 2:00 pm,important
lab report for english must be uploaded by today,important
congratulations you won a crypto investment,spam
movie night on today at 2:00 pm,casual
party tonight at 8:00 am,casual
biology exam scheduled on friday at 11:59 pm,important
movie night on monday at midnight,casual
lab report for physics must be uploaded by friday,important
lab report for computer science must be uploaded by sunday,important
buy 1 get 1 free gift card today,spam
party tonight at 10:30 am,casual
party tonight at midnight,casual
movie night on friday at 11:59 pm,casual
movie night on monday at 2:00 pm,casual
win a crypto investment click here,spam
check out this new meme,casual
check out this new meme,casual
good morning everyone,casual
you have been selected for a discount coupon,spam
claim your discount coupon now,spam
earn 5000 per week with job offer,spam
project submission deadline is friday at midnight,important
congratulations you won a crypto investment,spam
who wants to grab lunch on tuesday,casual
check out this new meme,casual
lets play football after class,casual
lets play badminton after class,casual
party tonight at 10:30 am,casual
claim your gift card now,spam
buy 1 get 1 free free iphone today,spam
lets play football after class,casual
you have been selected for a job offer,spam
party tonight at 11:59 pm,casual
party tonight at 11:59 pm,casual
results of math will be declared on tomorrow,important
you have been selected for a gratis iphone,spam
movie night on tomorrow at 2:00 pm,casual
good morning everyone,casual
check out this new meme,casual
you have been selected for a crypto investment,spam
congratulations you won a discount coupon,spam
assignment due on sunday at 11:59 pm,important
earn 5000 per week with free iphone,spam
project submission deadline is friday at midnight,important
win a crypto investment click here,spam
project submission deadline is sunday at 8:00 am,important
congratulations you won a job offer,spam
you have been selected for a job offer,spam
assignment submission deadline is sunday at 2:00 pm,important
lets play badminton after class,casual
lets play football after class,casual
professor cancelled history class on wednesday,important
congratulations you won a lottery prize,spam
computer science exam scheduled on wednesday at 11:59 pm,important
biology exam scheduled on tuesday at 11:59 pm,important
results of computer science will be declared on thursday,important
congratulations you won a job offer,spam
professor cancelled computer science class on saturday,important
professor cancelled english class on friday,important
buy 1 get 1 free lottery prize today,spam
check out this new meme,casual
claim your job offer now,spam
good morning everyone,casual
movie night on friday at midnight,casual
congratulations you won a crypto investment,spam
lab report for computer science must be uploaded by tomorrow,important
buy 1 get 1 free job offer today,spam
history exam scheduled on sunday at 10:30 am,important
physics exam scheduled on monday at 2:00 pm,important
party tonight at 5:00 pm,casual
buy 1 get 1 free free iphone today,spam
check out this new meme,casual
you have been selected for a crypto investment,spam
win a discount coupon click here,spam
who wants to grab lunch on sunday,casual
lets play cricket after class,casual
professor cancelled history class on wednesday,important
lets play cricket after class,casual
who wants to grab lunch on sunday,casual
lets play football after class,casual
lab report for math must be uploaded by wednesday,important
project submission deadline is wednesday at 5:00 pm,important
you have been selected for a job offer,spam
professor cancelled computer science class on monday,important
you have been selected for a discount coupon,spam
computer science exam scheduled on wednesday at 11:59 pm,important
lab report for biology must be uploaded by saturday,important
professor cancelled physics class on friday,important
win a lottery prize click here,spam
claim your job offer now,spam
lets play volleyball after class,casual
buy 1 get 1 free crypto investment today,spam
computer science exam scheduled on sunday at 5:00 pm,important
good morning everyone,casual
results of computer science will be declared on sunday,important
lets play volleyball after class,casual
movie night on saturday at 10:30 am,casual
results of computer science will be declared on thursday,important
lab report for physics must be uploaded by friday,important
who wants to grab lunch on monday,casual
assignment due on friday at 10:30 am,important
project submission deadline is sunday at 10:30 am,important
party tonight at 5:00 pm,casual
who wants to grab lunch on tuesday,casual
claim your job offer now,spam
results of computer science will be declared on friday,important
results of chemistry will be declared on friday,important
party tonight at 5:00 pm,casual
congratulations you won a discount coupon,spam
win a crypto investment click here,spam
you have been selected for a crypto investment,spam
you have been selected for a crypto investment,spam
good morning everyone,casual
good morning everyone,casual
party tonight at 5:00 pm,casual
you have been selected for a job offer,spam
lets play badminton after class,casual
work submission cutoff is today at midnight,important
work submission submission time is friday at 11:59 pm,important
check out this new meme,casual
party tonight at 8:00 am,casual
win a gift card click here,spam
check out this new meme,casual
movie night on friday at midnight,casual
you have been selected for a crypto investment,spam
earn 5000 per week with complimentary iphone,spam
check out this new meme,casual
check out this new meme,casual
project submission due date is today at 5:00 pm,important
buy 1 get 1 free crypto investment today,spam
lets play cricket after class,casual
you have been selected for a job offer,spam
chemistry exam scheduled on today at 8:00 am,important
professor cancelled computer science class on friday,important
check out this new meme,casual
buy 1 get 1 no-cost discount coupon currently,spam
win a job offer click here,spam
who wants to grab lunch on monday,casual
professor cancelled chemistry class on sunday,important
win a lottery prize click here,spam
computer science exam scheduled on wednesday at 11:59 pm,important
history exam scheduled on sunday at 10:30 am,important
assignment due on today at midnight,important
earn 5000 per week with crypto investment,spam
lets play chess after class,casual
assignment due on tomorrow at 11:59 pm,important
check out this new meme,casual
who wants to grab lunch on wednesday,casual
assignment due on tuesday at 5:00 pm,important
good morning everyone,casual
congratulations you won a discount coupon,spam
buy 1 get 1 complimentary gift card today,spam
earn 5000 per week with lottery prize,spam
english exam scheduled on monday at 8:00 am,important
good morning everyone,casual
results of history will be declared on tomorrow,important
you have been selected for a lottery prize,spam
congratulations you won a gift card,spam
movie night on saturday at 2:00 pm,casual
claim your gift card now,spam
claim your job offer now,spam
history exam scheduled on tuesday at 2:00 pm,important
lets play cricket after class,casual
project submission deadline is today at 5:00 pm,important
good morning everyone,casual
good morning everyone,casual
good morning everyone,casual
movie night on thursday at midnight,casual
check out this new meme,casual
you have been selected for a lottery prize,spam
professor cancelled history class on wednesday,important
win a lottery prize click here,spam
claim your free iphone now,spam
congratulations you won a discount coupon,spam
lab report for english must be uploaded by tomorrow,important
results of history will be declared on today,important
you have been selected for a lottery prize,spam
lets play badminton after class,casual
congratulations you won a lottery prize,spam
good morning everyone,casual
professor cancelled physics class on thursday,important
win a gratis iphone click here,spam
project submission deadline is monday at 10:30 am,important
good morning everyone,casual
lets play cricket after class,casual
results of math will be declared on saturday,important
congratulations you won a crypto investment,spam
party tonight at midnight,casual
buy 1 get 1 free job offer today,spam
buy 1 get 1 free crypto investment today,spam
results of physics will be declared on saturday,important
who wants to grab lunch on tuesday,casual
lab report for biology must be uploaded by saturday,important
win a job offer click here,spam
movie night on wednesday at 8:00 am,casual
assignment due on sunday at 11:59 pm,important
get 1 get 1 free complimentary iphone currently,spam
buy 1 get 1 free gift card today,spam
buy 1 get 1 free lottery prize today,spam
claim your gift card now,spam
assignment due on tomorrow at 11:59 pm,important
movie night on saturday at 5:00 pm,casual
lab report for physics must be uploaded by friday,important
get 1 get 1 no-cost crypto investment today,spam
earn 5000 per week with crypto investment,spam
buy 1 get 1 free lottery prize as of now,spam
good morning everyone,casual
results of history will be declared on tomorrow,important
movie night on monday at 8:00 am,casual
lets play cricket after class,casual
claim your gift card now,spam
buy 1 get 1 free crypto investment today,spam
lab report for english must be uploaded by currently,important
professor cancelled biology class on saturday,important
physics exam scheduled on sunday at 11:59 pm,important
win a job offer click here,spam
history exam scheduled on tuesday at 2:00 pm,important
lets play cricket after class,casual
claim your job offer now,spam
professor cancelled biology class on sunday,important
earn 5000 per week with lottery prize,spam
lab report for biology must be uploaded by saturday,important
earn 5000 per week with discount coupon,spam
who wants to grab lunch on sunday,casual
check out this new meme,casual
earn 5000 per week with lottery prize,spam
professor cancelled english class on today,important
congratulations you won a crypto investment,spam
check out this new meme,casual
project submission cutoff is sunday at 2:00 pm,important
assignment due on tomorrow at midnight,important
you have been selected for a gift card,spam
movie night on tomorrow at 2:00 pm,casual
party tonight at 2:00 pm,casual
project submission deadline is saturday at 2:00 pm,important
party tonight at 5:00 pm,casual
buy 1 get 1 free lottery prize today,spam
who wants to grab lunch on saturday,casual
assignment due on today at midnight,important
project submission deadline is monday at 2:00 pm,important
buy 1 get 1 free free iphone this day,spam
results of history will be declared on tomorrow,important
movie night on wednesday at 11:59 pm,casual
project submission deadline is sunday at 11:59 pm,important
check out this new meme,casual
buy 1 get 1 free free iphone today,spam
who wants to grab lunch on sunday,casual
you have been selected for a crypto investment,spam
win a discount coupon click here,spam
buy 1 get 1 free job offer today,spam
buy 1 get 1 free gratis iphone today,spam
earn 5000 per week with gratis iphone,spam
professor cancelled chemistry class on sunday,important
lab report for physics must be uploaded by friday,important
computer science exam scheduled on wednesday at 11:59 pm,important
claim your gift card now,spam
you have been selected for a discount coupon,spam
lets play football after class,casual
project submission deadline is sunday at 10:30 am,important
you have been selected for a free iphone,spam
who wants to grab lunch on tuesday,casual
earn 5000 per week with lottery prize,spam
check out this new meme,casual
assignment due on tomorrow at midnight,important
check out this new meme,casual
earn 5000 per week with lottery prize,spam
chemistry exam scheduled on monday at 5:00 pm,important
project submission deadline is tuesday at midnight,important
movie night on today at 10:30 am,casual
lab report for computer science must be uploaded by sunday,important
good morning everyone,casual
lab report for computer science must be uploaded by sunday,important
buy 1 get 1 free free iphone today,spam
win a job offer click here,spam
assignment due on friday at 10:30 am,important
results of history will be declared on today,important
win a gift card click here,spam
project submission submission time is currently at 5:00 pm,important
earn 5000 per week with lottery prize,spam
professor cancelled biology class on saturday,important
you have been selected for a crypto investment,spam
assignment due on today at 2:00 pm,important
assignment due on today at midnight,important
movie night on saturday at 5:00 pm,casual
you have been selected for a job offer,spam
history exam scheduled on tuesday at 2:00 pm,important
lab report for history must be uploaded by sunday,important
earn 5000 per week with discount coupon,spam
claim your gift card now,spam
task submission deadline is today at 5:00 pm,important
win a gift card click here,spam
lets play badminton after class,casual
win a discount coupon click here,spam
grab 1 get 1 no-cost crypto investment today,spam
lab report for biology must be uploaded by saturday,important
lets play volleyball after class,casual
who wants to grab lunch on tomorrow,casual
movie night on thursday at 8:00 am,casual
win a job offer click here,spam
results of physics will be declared on saturday,important
good morning everyone,casual
lets play chess after class,casual
party tonight at 11:59 pm,casual
good morning everyone,casual
movie night on friday at 11:59 pm,casual
biology exam scheduled on thursday at 5:00 pm,important
lets play badminton after class,casual
congratulations you won a job offer,spam
congratulations you won a crypto investment,spam
project submission deadline is thursday at 5:00 pm,important
check out this new meme,casual
win a free iphone click here,spam
results of biology will be declared on tomorrow,important
party tonight at midnight,casual
project submission deadline is today at midnight,important
win a lottery prize click here,spam
win a job offer click here,spam
professor cancelled physics class on thursday,important
lets play chess after class,casual
congratulations you won a discount coupon,spam
who wants to grab lunch on thursday,casual
good morning everyone,casual
check out this new meme,casual
check out this new meme,casual
physics exam scheduled on monday at 2:00 pm,important
check out this new meme,casual
results of biology will be declared on today,important
win a discount coupon click here,spam
assignment due on sunday at 11:59 pm,important
who wants to grab lunch on friday,casual
buy 1 get 1 free free iphone this day,spam
congratulations you won a gift card,spam
party tonight at 2:00 pm,casual
lab report for physics must be uploaded by monday,important
you have been selected for a free iphone,spam
party tonight at 10:30 am,casual
buy 1 get 1 free gift card today,spam
assignment submission deadline is thursday at 5:00 pm,important
buy 1 get 1 free complimentary iphone currently,spam
lets play chess after class,casual
claim your lottery prize right away,spam
results of history will be declared on tuesday,important
win a job offer click here,spam
good morning everyone,casual
you have been selected for a free iphone,spam
check out this new meme,casual
who wants to grab lunch on tuesday,casual
professor cancelled biology class on sunday,important
good morning everyone,casual
movie night on thursday at 8:00 am,casual
congratulations you won a job offer,spam
history exam scheduled on tuesday at 2:00 pm,important
congratulations you won a lottery prize,spam
you have been selected for a crypto investment,spam
history exam scheduled on today at 2:00 pm,important
physics exam scheduled on monday at 2:00 pm,important
chemistry exam scheduled on saturday at 2:00 pm,important
lab report for physics must be uploaded by thursday,important
buy 1 get 1 free gift card today,spam
lets play badminton after class,casual
check out this new meme,casual
lab report for history must be uploaded by tuesday,important
results of computer science will be declared on friday,important
check out this new meme,casual
check out this new meme,casual
movie night on tuesday at 2:00 pm,casual
professor cancelled physics class on friday,important
lets play basketball after class,casual
win a gift card click here,spam
results of computer science will be declared on monday,important
congratulations you won a gift card,spam
lets play cricket after class,casual
professor cancelled history class on saturday,important
check out this new meme,casual
project submission deadline is friday at midnight,important
who wants to grab lunch on wednesday,casual
who wants to grab lunch on wednesday,casual
lets play chess after class,casual
win a discount coupon click here,spam
lab report for biology must be uploaded by wednesday,important
win a job offer click here,spam
professor cancelled physics class on thursday,important
congratulations you won a gift card,spam
lets play football after class,casual
congratulations you won a discount coupon,spam
project submission submission time is sunday at 2:00 pm,important
check out this new meme,casual
history exam scheduled on saturday at 5:00 pm,important
buy 1 get 1 free crypto investment today,spam
chemistry exam scheduled on monday at 8:00 am,important
project submission deadline is saturday at 2:00 pm,important
professor cancelled chemistry class on monday,important
check out this new meme,casual
movie night on sunday at 8:00 am,casual
win a gift card click here,spam
congratulations you won a discount coupon,spam
you have been selected for a discount coupon,spam
lets play chess after class,casual
buy 1 get 1 free gift card today,spam
math exam scheduled on today at 11:59 pm,important
check out this new meme,casual
buy 1 get 1 free discount coupon today,spam
win a discount coupon click here,spam
project submission cutoff is sunday at 10:30 am,important
movie night on sunday at 10:30 am,casual
congratulations you won a gift card,spam
good morning everyone,casual
movie night on thursday at 8:00 am,casual
congratulations you won a discount coupon,spam
good morning everyone,casual
you have been selected for a discount coupon,spam
physics exam scheduled on monday at 2:00 pm,important
purchase 1 get 1 free gift card as of now,spam
lab report for english must be uploaded by tomorrow,important
movie night on tomorrow at 2:00 pm,casual
movie night on today at 10:30 am,casual
congratulations you won a lottery prize,spam
party tonight at 8:00 am,casual
results of biology will be declared on saturday,important
movie night on saturday at 5:00 pm,casual
chemistry exam scheduled on tomorrow at 11:59 pm,important
lets play chess after class,casual
movie night on sunday at 10:30 am,casual
project submission deadline is saturday at 2:00 pm,important
claim your gift card right away,spam
congratulations you won a crypto investment,spam
professor cancelled computer science class on monday,important
physics exam scheduled on tomorrow at 10:30 am,important
claim your gift card right away,spam
project submission submission time is sunday at 10:30 am,important
buy 1 get 1 free gift card today,spam
earn 5000 per week with free iphone,spam
party tonight at 5:00 pm,casual
claim your crypto investment now,spam
buy 1 get 1 free crypto investment today,spam
check out this new meme,casual
win a gratis iphone click here,spam
computer science exam scheduled on wednesday at 11:59 pm,important
lab report for math must be uploaded by wednesday,important
project submission deadline is friday at 2:00 pm,important
congratulations you won a crypto investment,spam
assignment due on tomorrow at 11:59 pm,important
history exam scheduled on tuesday at 2:00 pm,important
professor cancelled physics class on thursday,important
win a crypto investment click here,spam
movie night on tomorrow at 2:00 pm,casual
you have been selected for a discount coupon,spam
lets play chess after class,casual
congratulations you won a discount coupon,spam
good morning everyone,casual
win a job offer click here,spam
work submission deadline is saturday at midnight,important
congratulations you won a crypto investment,spam
assignment due on today at 2:00 pm,important
party tonight at 11:59 pm,casual
assignment due on tuesday at 5:00 pm,important
congratulations you won a lottery prize,spam
claim your gift card now,spam
movie night on saturday at midnight,casual
who wants to grab lunch on tomorrow,casual
lets play football after class,casual
