message,label
who wants to grab lunch on monday,casual
movie night on today at 2:00 pm,casual
project submission deadline is sunday at 2:00 pm,important
good morning everyone,casual
who wants to grab lunch on sunday,casual
buy 1 get 1 free free iphone today,spam
buy 1 get 1 free lottery prize today,spam
congratulations you won a crypto investment,spam
party tonight at midnight,casual
claim your job offer now,spam
you have been selected for a discount coupon,spam
professor cancelled english class on currently,important
earn 5000 per week with job offer,spam
assignment due on tomorrow at 10:30 am,important
earn 5000 per week with crypto investment,spam
lets play chess after class,casual
movie night on sunday at 8:00 am,casual
results of computer science will be declared on thursday,important
earn 5000 per week with job offer,spam
lets play volleyball after class,casual
check out this new meme,casual
buy 1 get 1 free gift card today,spam
congratulations you won a lottery prize,spam
party tonight at 2:00 pm,casual
lets play chess after class,casual
buy 1 get 1 free gratis iphone as of now,spam
congratulations you won a discount coupon,spam
congratulations you won a crypto investment,spam
who wants to grab lunch on friday,casual
buy 1 get 1 no-cost crypto investment today,spam
lets play cricket after class,casual
claim your gift card now,spam
check out this new meme,casual
lab report for english must be uploaded by tomorrow,important
claim your gift card now,spam
congratulations you won a crypto investment,spam
congratulations you won a job offer,spam
lets play volleyball after class,casual
professor cancelled english class on tuesday,important
lab report for math must be uploaded by wednesday,important
assignment due on today at midnight,important
earn 5000 per week with crypto investment,spam
good morning everyone,casual
results of computer science will be declared on monday,important
good morning everyone,casual
party tonight at 10:30 am,casual
results of history will be declared on tomorrow,important
check out this new meme,casual
party tonight at 5:00 pm,casual
claim your job offer now,spam
buy 1 get 1 free job offer today,spam
party tonight at 5:00 pm,casual
professor cancelled chemistry class on friday,important
movie night on friday at midnight,casual
you have been selected for a gift card,spam
movie night on thursday at 8:00 am,casual
earn 5000 per week with free iphone,spam
congratulations you won a discount coupon,spam
lets play football after class,casual
good morning everyone,casual
party tonight at 11:59 pm,casual
congratulations you won a job offer,spam
results of biology will be declared on tomorrow,important
results of computer science will be declared on saturday,important
assignment due on tomorrow at 11:59 pm,important
work submission submission time is wednesday at midnight,important
lab report for biology must be uploaded by wednesday,important
lets play cricket after class,casual
professor cancelled biology class on tomorrow,important
you have been selected for a lottery prize,spam
good morning everyone,casual
lets play badminton after class,casual
project submission deadline is sunday at 10:30 am,important
check out this new meme,casual
lab report for physics must be uploaded by friday,important
good morning everyone,casual
who wants to grab lunch on sunday,casual
professor cancelled history class on saturday,important
lets play volleyball after class,casual
movie night on saturday at midnight,casual
congratulations you won a discount coupon,spam
check out this new meme,casual
chemistry exam scheduled on saturday at 2:00 pm,important
who wants to grab lunch on friday,casual
who wants to grab lunch on tuesday,casual
lets play football after class,casual
results of history will be declared on tomorrow,important
check out this new meme,casual
movie night on sunday at 8:00 am,casual
results of physics will be declared on saturday,important
history exam scheduled on monday at 5:00 pm,important
buy 1 get 1 free gratis iphone today,spam
results of computer science will be declared on saturday,important
assignment due on tuesday at 5:00 pm,important
win a gift card click here,spam
work submission deadline is sunday at 10:30 am,important
assignment due on sunday at 11:59 pm,important
congratulations you won a crypto investment,spam
party tonight at 2:00 pm,casual
lets play chess after class,casual
party tonight at 5:00 pm,casual
you have been selected for a crypto investment,spam
lab report for math must be uploaded by wednesday,important
lab report for english must be uploaded by tomorrow,important
congratulations you won a crypto investment,spam
movie night on friday at midnight,casual
lets play chess after class,casual
lab report for english must be uploaded by thursday,important
earn 5000 per week with lottery prize,spam
professor cancelled computer science class on saturday,important
good morning everyone,casual
results of history will be declared on sunday,important
win a crypto investment click here,spam
professor cancelled chemistry class on monday,important
professor cancelled computer science class on saturday,important
earn 5000 per week with no-cost iphone,spam
win a gift card click here,spam
work submission deadline is saturday at 2:00 pm,important
congratulations you won a lottery prize,spam
who wants to grab lunch on friday,casual
good morning everyone,casual
assignment due on as of now at 2:00 pm,important
lab report for chemistry must be uploaded by wednesday,important
movie night on friday at 11:59 pm,casual
earn 5000 per week with gift card,spam
lab report for english must be uploaded by this day,important
assignment due on saturday at midnight,important
good morning everyone,casual
assignment due on sunday at 11:59 pm,important
check out this new meme,casual
professor cancelled history class on saturday,important
who wants to grab lunch on tuesday,casual
assignment due on sunday at 8:00 am,important
project submission cutoff is saturday at 2:00 pm,important
check out this new meme,casual
who wants to grab lunch on tuesday,casual
professor cancelled physics class on friday,important
computer science exam scheduled on wednesday at 2:00 pm,important
lab report for biology must be uploaded by monday,important
good morning everyone,casual
congratulations you won a gift card,spam
who wants to grab lunch on monday,casual
win a free iphone click here,spam
movie night on tomorrow at 2:00 pm,casual
professor cancelled computer science class on monday,important
project submission deadline is friday at 11:59 pm,important
congratulations you won a discount coupon,spam
good morning everyone,casual
claim your free iphone now,spam
assignment due on today at midnight,important
win a job offer click here,spam
win a discount coupon click here,spam
assignment due on saturday at midnight,important
buy 1 get 1 complimentary job offer today,spam
lets play cricket after class,casual
buy 1 get 1 free crypto investment currently,spam
lets play volleyball after class,casual
good morning everyone,casual
movie night on friday at 11:59 pm,casual
win a job offer click here,spam
congratulations you won a crypto investment,spam
results of computer science will be declared on sunday,important
you have been selected for a lottery prize,spam
check out this new meme,casual
lab report for english must be uploaded by tuesday,important
lets play badminton after class,casual
results of chemistry will be declared on sunday,important
congratulations you won a crypto investment,spam
results of biology will be declared on today,important
project submission due date is monday at 2:00 pm,important
chemistry exam scheduled on tuesday at 11:59 pm,important
earn 5000 per week with discount coupon,spam
you have been selected for a lottery prize,spam
project submission submission time is thursday at 11:59 pm,important
results of history will be declared on this day,important
lab report for english must be uploaded by monday,important
congratulations you won a discount coupon,spam
who wants to grab lunch on monday,casual
movie night on thursday at midnight,casual
you have been selected for a crypto investment,spam
assignment due on today at 2:00 pm,important
professor cancelled chemistry class on sunday,important
win a lottery prize click here,spam
party tonight at 2:00 pm,casual
buy 1 get 1 free gift card as of now,spam
claim your gift card now,spam
work submission cutoff is friday at midnight,important
lab report for physics must be uploaded by thursday,important
movie night on thursday at 5:00 pm,casual
physics exam scheduled on wednesday at 2:00 pm,important
project submission deadline is sunday at 8:00 am,important
check out this new meme,casual
lab report for computer science must be uploaded by wednesday,important
win a discount coupon click here,spam
check out this new meme,casual
lab report for biology must be uploaded by wednesday,important
congratulations you won a lottery prize,spam
buy 1 get 1 free crypto investment today,spam
chemistry exam scheduled on saturday at 2:00 pm,important
win a crypto investment click here,spam
good morning everyone,casual
movie night on monday at midnight,casual
party tonight at 2:00 pm,casual
biology exam scheduled on tuesday at 11:59 pm,important
lab report for biology must be uploaded by thursday,important
check out this new meme,casual
movie night on wednesday at 2:00 pm,casual
purchase 1 get 1 free crypto investment today,spam
project submission deadline is sunday at 8:00 am,important
professor cancelled chemistry class on thursday,important
movie night on monday at 8:00 am,casual
check out this new meme,casual
who wants to grab lunch on tuesday,casual
good morning everyone,casual
check out this new meme,casual
congratulations you won a crypto investment,spam
congratulations you won a discount coupon,spam
earn 5000 per week with no-cost iphone,spam
results of biology will be declared on saturday,important
professor cancelled math class on thursday,important
movie night on saturday at midnight,casual
party tonight at 5:00 pm,casual
party tonight at 11:59 pm,casual
win a discount coupon click here,spam
earn 5000 per week with lottery prize,spam
lab report for math must be uploaded by today,important
movie night on sunday at 10:30 am,casual
assignment submission due date is sunday at 8:00 am,important
who wants to grab lunch on sunday,casual
party tonight at 2:00 pm,casual
buy 1 get 1 free gift card today,spam
win a free iphone click here,spam
party tonight at 5:00 pm,casual
lab report for history must be uploaded by sunday,important
lets play volleyball after class,casual
professor cancelled computer science class on monday,important
lab report for computer science must be uploaded by wednesday,important
claim your gift card now,spam
check out this new meme,casual
congratulations you won a discount coupon,spam
earn 5000 per week with gift card,spam
results of history will be declared on saturday,important
claim your gift card now,spam
buy 1 get 1 free gift card today,spam
claim your discount coupon instantly,spam
results of history will be declared on tomorrow,important
party tonight at midnight,casual
you have been selected for a discount coupon,spam
biology exam scheduled on tuesday at 11:59 pm,important
lets play cricket after class,casual
project submission submission time is sunday at 2:00 pm,important
buy 1 get 1 free free iphone currently,spam
lab report for biology must be uploaded by monday,important
party tonight at midnight,casual
results of chemistry will be declared on friday,important
check out this new meme,casual
win a job offer click here,spam
you have been selected for a gift card,spam
who wants to grab lunch on friday,casual
buy 1 get 1 free gift card as of now,spam
check out this new meme,casual
results of computer science will be declared on monday,important
chemistry exam scheduled on monday at 8:00 am,important
earn 5000 per week with lottery prize,spam
assignment due on friday at 5:00 pm,important
you have been selected for a crypto investment,spam
congratulations you won a crypto investment,spam
congratulations you won a lottery prize,spam
party tonight at 11:59 pm,casual
history exam scheduled on sunday at 10:30 am,important
results of physics will be declared on saturday,important
buy 1 get 1 free free iphone today,spam
project submission cutoff is saturday at 5:00 pm,important
claim your gift card immediately,spam
party tonight at 11:59 pm,casual
good morning everyone,casual
claim your free iphone now,spam
who wants to grab lunch on tuesday,casual
party tonight at 11:59 pm,casual
win a discount coupon click here,spam
purchase 1 get 1 free lottery prize today,spam
movie night on thursday at 8:00 am,casual
win a gift card click here,spam
results of history will be declared on friday,important
lab report for computer science must be uploaded by sunday,important
check out this new meme,casual
win a discount coupon click here,spam
project submission deadline is saturday at 5:00 pm,important
party tonight at 8:00 am,casual
check out this new meme,casual
congratulations you won a lottery prize,spam
party tonight at 8:00 am,casual
who wants to grab lunch on tomorrow,casual
results of chemistry will be declared on sunday,important
project submission deadline is thursday at 11:59 pm,important
who wants to grab lunch on today,casual
lab report for physics must be uploaded by friday,important
project submission cutoff is wednesday at 10:30 am,important
win a free iphone click here,spam
assignment due on saturday at midnight,important
check out this new meme,casual
who wants to grab lunch on tomorrow,casual
party tonight at 8:00 am,casual
congratulations you won a discount coupon,spam
computer science exam scheduled on wednesday at 2:00 pm,important
win a job offer click here,spam
who wants to grab lunch on wednesday,casual
movie night on wednesday at 8:00 am,casual
buy 1 get 1 free gift card today,spam
buy 1 get 1 free free iphone currently,spam
congratulations you won a job offer,spam
lets play badminton after class,casual
check out this new meme,casual
check out this new meme,casual
congratulations you won a crypto investment,spam
lab report for physics must be uploaded by thursday,important
good morning everyone,casual
movie night on friday at 11:59 pm,casual
movie night on today at 10:30 am,casual
check out this new meme,casual
history exam scheduled on today at 2:00 pm,important
you have been selected for a discount coupon,spam
project submission deadline is monday at 10:30 am,important
lets play badminton after class,casual
buy 1 get 1 free free iphone today,spam
party tonight at 5:00 pm,casual
claim your free iphone now,spam
win a crypto investment click here,spam
professor cancelled biology class on sunday,important
assignment due on as of now at midnight,important
good morning everyone,casual
lab report for english must be uploaded by monday,important
professor cancelled english class on friday,important
check out this new meme,casual
chemistry exam scheduled on monday at 5:00 pm,important
lets play badminton after class,casual
professor cancelled computer science class on friday,important
earn 5000 per week with free iphone,spam
earn 5000 per week with lottery prize,spam
project submission due date is sunday at 2:00 pm,important
good morning everyone,casual
physics exam scheduled on wednesday at 2:00 pm,important
project submission deadline is thursday at 11:59 pm,important
lets play chess after class,casual
buy 1 get 1 free free iphone today,spam
good morning everyone,casual
earn 5000 per week with gift card,spam
earn 5000 per week with lottery prize,spam
party tonight at 5:00 pm,casual
claim your discount coupon now,spam
earn 5000 per week with gift card,spam
you have been selected for a discount coupon,spam
lab report for english must be uploaded by tomorrow,important
check out this new meme,casual
earn 5000 per week with gift card,spam
win a gift card click here,spam
movie night on monday at midnight,casual
win a discount coupon click here,spam
check out this new meme,casual
professor cancelled english class on friday,important
who wants to grab lunch on tuesday,casual
project submission deadline is today at 10:30 am,important
lets play chess after class,casual
who wants to grab lunch on tuesday,casual
lab report for english must be uploaded by tomorrow,important
win a job offer click here,spam
party tonight at 10:30 am,casual
movie night on today at midnight,casual
party tonight at 5:00 pm,casual
assignment due on sunday at 8:00 am,important
project submission cutoff is wednesday at midnight,important
who wants to grab lunch on saturday,casual
results of history will be declared on today,important
lab report for history must be uploaded by today,important
lets play volleyball after class,casual
win a job offer click here,spam
congratulations you won a job offer,spam
good morning everyone,casual
party tonight at 2:00 pm,casual
who wants to grab lunch on wednesday,casual
congratulations you won a discount coupon,spam
chemistry exam scheduled on monday at 5:00 pm,important
who wants to grab lunch on sunday,casual
earn 5000 per week with lottery prize,spam
congratulations you won a free iphone,spam
results of history will be declared on friday,important
claim your crypto investment now,spam
lab report for biology must be uploaded by thursday,important
lets play volleyball after class,casual
congratulations you won a job offer,spam
claim your crypto investment now,spam
congratulations you won a job offer,spam
earn 5000 per week with crypto investment,spam
who wants to grab lunch on sunday,casual
win a discount coupon click here,spam
congratulations you won a lottery prize,spam
lab report for biology must be uploaded by monday,important
project submission cutoff is wednesday at 5:00 pm,important
party tonight at 10:30 am,casual
project submission deadline is today at 10:30 am,important
professor cancelled history class on wednesday,important
claim your crypto investment now,spam
claim your job offer now,spam
good morning everyone,casual
who wants to grab lunch on saturday,casual
buy 1 get 1 complimentary lottery prize today,spam
who wants to grab lunch on friday,casual
buy 1 get 1 free gift card this day,spam
project submission deadline is friday at midnight,important
claim your gift card now,spam
assignment due on tomorrow at 11:59 pm,important
lab report for biology must be uploaded by thursday,important
project submission deadline is sunday at 10:30 am,important
buy 1 get 1 free crypto investment today,spam
check out this new meme,casual
claim your lottery prize now,spam
history exam scheduled on saturday at 5:00 pm,important
party tonight at 11:59 pm,casual
lab report for history must be uploaded by tuesday,important
results of computer science will be declared on sunday,important
who wants to grab lunch on tuesday,casual
claim your lottery prize now,spam
history exam scheduled on saturday at 5:00 pm,important
assignment submission deadline is sunday at 10:30 am,important
check out this new meme,casual
congratulations you won a discount coupon,spam
who wants to grab lunch on tuesday,casual
congratulations you won a discount coupon,spam
who wants to grab lunch on tuesday,casual
math exam scheduled on today at 2:00 pm,important
claim your job offer now,spam
lab report for english must be uploaded by tomorrow,important
project submission deadline is sunday at 2:00 pm,important
results of biology will be declared on today,important
assignment due on friday at 5:00 pm,important
purchase 1 get 1 free no-cost iphone today,spam
lab report for chemistry must be uploaded by wednesday,important
party tonight at 11:59 pm,casual
project submission deadline is sunday at 2:00 pm,important
assignment due on today at 11:59 pm,important
who wants to grab lunch on friday,casual
who wants to grab lunch on wednesday,casual
you have been selected for a crypto investment,spam
lab report for math must be uploaded by currently,important
lets play badminton after class,casual
movie night on friday at midnight,casual
claim your lottery prize now,spam
good morning everyone,casual
party tonight at 11:59 pm,casual
congratulations you won a gift card,spam
who wants to grab lunch on wednesday,casual
check out this new meme,casual
project submission deadline is friday at midnight,important
lets play chess after class,casual
check out this new meme,casual
buy 1 get 1 free discount coupon today,spam
who wants to grab lunch on friday,casual
professor cancelled english class on today,important
buy 1 get 1 free gift card today,spam
party tonight at 11:59 pm,casual
win a free iphone click here,spam
win a lottery prize click here,spam
you have been selected for a free iphone,spam
biology exam scheduled on thursday at 5:00 pm,important
project submission due date is friday at midnight,important
earn 5000 per week with job offer,spam
good morning everyone,casual
you have been selected for a gift card,spam
assignment due on today at midnight,important
who wants to grab lunch on wednesday,casual
project submission deadline is sunday at 2:00 pm,important
professor cancelled english class on today,important
project submission deadline is monday at 10:30 am,important
professor cancelled biology class on tomorrow,important
buy 1 get 1 free complimentary iphone today,spam
who wants to grab lunch on monday,casual
party tonight at 5:00 pm,casual
party tonight at 11:59 pm,casual
win a crypto investment click here,spam
lab report for english must be uploaded by today,important
claim your gift card now,spam
win a job offer click here,spam
who wants to grab lunch on wednesday,casual
results of biology will be declared on saturday,important
assignment submission cutoff is sunday at 11:59 pm,important
project submission deadline is thursday at 5:00 pm,important
who wants to grab lunch on today,casual
lab report for computer science must be uploaded by tomorrow,important
buy 1 get 1 free discount coupon today,spam
movie night on monday at midnight,casual
earn 5000 per week with free iphone,spam
assignment due on tomorrow at 10:30 am,important
project submission deadline is saturday at 2:00 pm,important
congratulations you won a crypto investment,spam
claim your gift card now,spam
party tonight at 11:59 pm,casual
claim your gift card now,spam
who wants to grab lunch on wednesday,casual
check out this new meme,casual
task submission deadline is saturday at 2:00 pm,important
party tonight at 10:30 am,casual
lets play cricket after class,casual
assignment due on tuesday at 5:00 pm,important
check out this new meme,casual
assignment due on friday at 10:30 am,important
earn 5000 per week with gift card,spam
earn 5000 per week with gratis iphone,spam
earn 5000 per week with free iphone,spam
party tonight at 2:00 pm,casual
who wants to grab lunch on monday,casual
physics exam scheduled on monday at 2:00 pm,important
earn 5000 per week with free iphone,spam
earn 5000 per week with crypto investment,spam
lets play chess after class,casual
results of history will be declared on tuesday,important
lab report for english must be uploaded by tomorrow,important
lab report for computer science must be uploaded by sunday,important
party tonight at 11:59 pm,casual
congratulations you won a crypto investment,spam
professor cancelled chemistry class on sunday,important
check out this new meme,casual
biology exam scheduled on friday at 11:59 pm,important
professor cancelled english class on today,important
lets play badminton after class,casual
movie night on monday at 8:00 am,casual
professor cancelled physics class on friday,important
professor cancelled biology class on sunday,important
professor cancelled physics class on thursday,important
party tonight at 11:59 pm,casual
buy 1 get 1 free crypto investment today,spam
project submission cutoff is sunday at 2:00 pm,important
party tonight at 5:00 pm,casual
buy 1 get 1 free free iphone today,spam
lets play chess after class,casual
results of biology will be declared on tomorrow,important
claim your gift card now,spam
congratulations you won a discount coupon,spam
earn 5000 per week with job offer,spam
earn 5000 per week with crypto investment,spam
professor cancelled biology class on saturday,important
project submission deadline is saturday at 2:00 pm,important
chemistry exam scheduled on monday at 5:00 pm,important
buy 1 get 1 free gift card today,spam
good morning everyone,casual
check out this new meme,casual
history exam scheduled on sunday at 10:30 am,important
congratulations you won a crypto investment,spam
lab report for physics must be uploaded by thursday,important
project submission deadline is thursday at 5:00 pm,important
movie night on sunday at 8:00 am,casual
check out this new meme,casual
check out this new meme,casual
you have been selected for a gift card,spam
congratulations you won a lottery prize,spam
earn 5000 per week with crypto investment,spam
results of computer science will be declared on saturday,important
lets play chess after class,casual
win a discount coupon click here,spam
claim your gift card now,spam
check out this new meme,casual
results of computer science will be declared on saturday,important
lets play football after class,casual
movie night on thursday at 11:59 pm,casual
claim your gift card now,spam
claim your job offer now,spam
you have been selected for a job offer,spam
chemistry exam scheduled on monday at 8:00 am,important
claim your gift card now,spam
computer science exam scheduled on sunday at 5:00 pm,important
physics exam scheduled on wednesday at 2:00 pm,important
lets play football after class,casual
results of physics will be declared on saturday,important
win a job offer click here,spam
lets play badminton after class,casual
who wants to grab lunch on tuesday,casual
check out this new meme,casual
earn 5000 per week with crypto investment,spam
who wants to grab lunch on wednesday,casual
assignment due on tomorrow at 10:30 am,important
results of chemistry will be declared on sunday,important
party tonight at 11:59 pm,casual
party tonight at 8:00 am,casual
movie night on friday at midnight,casual
good morning everyone,casual
congratulations you won a gift card,spam
claim your crypto investment now,spam
good morning everyone,casual
lets play badminton after class,casual
results of history will be declared on friday,important
good morning everyone,casual
results of computer science will be declared on monday,important
you have been selected for a gift card,spam
good morning everyone,casual
check out this new meme,casual
congratulations you won a lottery prize,spam
assignment due on today at 11:59 pm,important
lets play cricket after class,casual
claim your discount coupon now,spam
professor cancelled history class on friday,important
claim your gift card right away,spam
computer science exam scheduled on wednesday at 2:00 pm,important
party tonight at 5:00 pm,casual
results of computer science will be declared on friday,important
congratulations you won a crypto investment,spam
party tonight at 5:00 pm,casual
congratulations you won a lottery prize,spam
lets play football after class,casual
lab report for computer science must be uploaded by sunday,important
results of history will be declared on today,important
movie night on today at 2:00 pm,casual
who wants to grab lunch on tuesday,casual
professor cancelled biology class on tuesday,important
lets play chess after class,casual
earn 5000 per week with job offer,spam
movie night on friday at midnight,casual
you have been selected for a discount coupon,spam
you have been selected for a lottery prize,spam
project submission deadline is sunday at 2:00 pm,important
lab report for english must be uploaded by thursday,important
chemistry exam scheduled on monday at 5:00 pm,important
physics exam scheduled on sunday at 11:59 pm,important
claim your crypto investment now,spam
buy 1 get 1 no-cost discount coupon today,spam
earn 5000 per week with lottery prize,spam
congratulations you won a job offer,spam
good morning everyone,casual
lets play chess after class,casual
lets play badminton after class,casual
who wants to grab lunch on sunday,casual
movie night on tomorrow at 2:00 pm,casual
results of math will be declared on saturday,important
party tonight at 2:00 pm,casual
professor cancelled physics class on friday,important
lets play badminton after class,casual
earn 5000 per week with discount coupon,spam
lab report for computer science must be uploaded by tuesday,important
win a job offer click here,spam
win a crypto investment click here,spam
party tonight at 11:59 pm,casual
claim your job offer now,spam
lab report for math must be uploaded by today,important
buy 1 get 1 free complimentary iphone today,spam
chemistry exam scheduled on sunday at 10:30 am,important
who wants to grab lunch on saturday,casual
check out this new meme,casual
lab report for physics must be uploaded by thursday,important
check out this new meme,casual
work submission deadline is today at midnight,important
assignment due on friday at 10:30 am,important
you have been selected for a discount coupon,spam
congratulations you won a discount coupon,spam
party tonight at 11:59 pm,casual
win a free iphone click here,spam
you have been selected for a lottery prize,spam
check out this new meme,casual
you have been selected for a crypto investment,spam
good morning everyone,casual
work submission deadline is today at 10:30 am,important
results of chemistry will be declared on friday,important
project submission deadline is thursday at 11:59 pm,important
assignment due on saturday at midnight,important
good morning everyone,casual
check out this new meme,casual
good morning everyone,casual
good morning everyone,casual
results of history will be declared on today,important
